,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest0,肯德基家鄉雞 (KFC),Kentucky Fried Chicken,3.5,7.0,140.0,Tai Po,50.0,美國菜,0,1,0
rest1,太平洋咖啡,Pacific Coffee,,,21.0,Discovery Bay,50.0,美國菜,0,0,0
rest2,小正大福,Just for mochi,,,308.0,Kwun Tong,50.0,日本菜,1,0,0
rest3,德朗甜品,Dessert Country,4.5,16.0,419.0,Kowloon City,50.0,西式,14,1,0
rest4,龍門客棧,Dragon Inn,,,32.0,Ma On Shan,101.0,滬菜,0,0,0
rest5,Cafe Oasis,,3.5,9.0,272.0,Kowloon Bay,51.0,西式,3,2,1
rest6,達記燒臘飯店,,3.0,4.0,40.0,Ap Lei Chau,50.0,港式,3,0,1
rest7,坤記腸粉,Riceroll,3.5,8.0,163.0,Tuen Mun,50.0,港式,3,2,1
rest8,Mr. Rich Bakery,,3.5,9.0,199.0,Kwun Tong,51.0,西式,6,3,0
rest9,德麥烘焙,Freshday Bakery,3.5,6.0,69.0,Tai Po,50.0,港式,4,1,1
rest10,MX (港鐵粉嶺站),,3.0,6.0,34.0,Fan Ling,50.0,港式,2,0,2
rest11,Cow Bean (TKO Gateway),,3.5,98.0,1695.0,Tseung Kwan O,101.0,日本菜,60,18,11
rest12,The Hong Kong Juice by Bless,,,,23.0,Mid-Levels,51.0,西式,0,0,0
rest13,松坂日本料理,Matsuzaka Japanese Restaurant,3.5,66.0,772.0,Tsim Sha Tsui,201.0,日本菜,38,11,12
rest14,聖安娜餅屋,Saint Honore Cake Shop,3.5,9.0,16.0,Yau Tong,50.0,港式,2,5,1
rest15,豪大大雞排,HOT-STAR Large Fried Chicken,4.0,5.0,148.0,Yuen long,50.0,台灣菜,2,1,0
rest16,當文歷餅店 by Dominique Ansel,Dang Wen Li by Dominique Ansel,3.5,197.0,11001.0,Tsim Sha Tsui,51.0,多國菜,98,64,12
rest17,老Come煎餅,,3.5,45.0,3253.0,Tin Hau,50.0,港式,21,10,3
rest18,茶王冰室 (洗衣街),Tea Master (洗衣街),3.5,145.0,5651.0,Mong Kok,51.0,港式,68,28,11
rest19,東海酒家,East Ocean Restaurant,3.5,91.0,3647.0,Quarry Bay,101.0,粵菜,38,17,11
rest20,願望樹美食,,,,30.0,Cheung Sha Wan,51.0,港式,0,2,0
rest21,Burger Begin,,4.5,64.0,484.0,Hung Hom,51.0,西式,61,0,1
rest22,Kinson Burger & Bar,,3.5,51.0,1281.0,Quarry Bay,51.0,港式,24,12,4
rest23,德記,Tak Kee,,,24.0,Wong Tai Sin,50.0,港式,0,0,0
rest24,一芳台灣水果茶,Yifang Taiwan Fruit Tea,3.5,15.0,202.0,Wan Chai,50.0,台灣菜,8,4,2
rest25,富記驛站,Fu Kee,3.5,9.0,202.0,Tai Po,101.0,粵菜,2,3,1
rest26,麻辣派,Chili Club,3.5,43.0,1943.0,Mong Kok,50.0,川菜,29,5,5
rest27,櫻川丼,Sakura Kawa Don,4.0,17.0,770.0,Yuen long,50.0,日本菜,11,3,0
rest28,Oma's Kitchen,,3.5,141.0,5880.0,Ma Wan,101.0,德國菜,90,26,10
rest29,Hana  Eggettes,,3.5,4.0,58.0,Yau Tong,50.0,港式,2,1,0
rest30,Mak Mak,,3.5,68.0,5899.0,Central,201.0,泰國菜,31,15,4
rest31,Fusion Kitchen,,,,78.0,Jordan,51.0,印度菜,0,0,0
rest32,太平洋酒吧,Bar Pacific,,,92.0,Tai Wai,101.0,多國菜,0,0,0
rest33,Crostini Bakery & Cafe,,,,9.0,Lam Tin,50.0,法國菜,0,0,0
rest34,蘭芳園,Lan Fong Yuen,3.0,204.0,3947.0,Sheung Wan,50.0,港式,62,57,50
rest35,牛肉拉麵,,4.0,7.0,144.0,Hung Hom,50.0,陝菜,4,1,0
rest36,一粥麵,Super Super Congee & Noodle,3.0,14.0,78.0,Tung Chung,50.0,港式,3,1,3
rest37,金源,K. Yuen,3.5,27.0,192.0,Tsing Yi,50.0,港式,8,7,4
rest38,台灣廣良興食品,,4.0,5.0,67.0,Yau Ma Tei,50.0,港式,4,1,0
rest39,明記潮館,Ming Kee,4.0,375.0,11258.0,Mong Kok,101.0,潮州菜,300,29,10
rest40,Youni,,4.0,19.0,1206.0,Central,51.0,多國菜,12,3,0
rest41,ALIVE EATERY by Alive Food,,4.5,9.0,597.0,Shum Shui Po,51.0,西式,8,0,0
rest42,第一城冰站,City One Plaza Cafe,3.0,82.0,407.0,Shatin,50.0,港式,35,16,12
rest43,小廚港作,Rocoma Kitchen,3.5,31.0,299.0,Lai Chi Kok,50.0,港式,13,8,2
rest44,水鄉茶餐廳,,,,3.0,Tai O,50.0,港式,0,0,0
rest45,和順記,,4.0,42.0,3410.0,Yau Ma Tei,50.0,港式,24,3,1
rest46,串燒茶寮,,,,66.0,Fo Tan,50.0,港式,0,0,0
rest47,鍋心粥底火鍋,The Cosmopolitan,4.5,97.0,10120.0,Tai Wai,101.0,粵菜,70,6,2
rest48,兩草,,4.0,71.0,8772.0,Causeway Bay,50.0,港式,39,18,3
rest49,星河小食,Starship,4.0,28.0,953.0,Sai Wan Ho,50.0,港式,23,3,2
rest50,MOS Burger,,3.5,9.0,114.0,Tsing Yi,50.0,日本菜,6,3,0
rest51,Casa Kitchen,,4.5,88.0,635.0,Shek Kip Mei,51.0,意大利菜,85,2,0
rest52,大棧,,,,8.0,Chai Wan,101.0,港式,0,0,0
rest53,粵 (香港黃金海岸酒店),YUE (香港黃金海岸酒店),4.0,95.0,2521.0,Tuen Mun,201.0,粵菜,59,6,1
rest54,Chill Cafe Bar & Grill,,4.0,56.0,3647.0,Kowloon Bay,101.0,意大利菜,32,10,5
rest55,Tate Dining Room & Bar,,4.0,42.0,2924.0,Central,801.0,法國菜,31,5,2
rest56,福星快餐,,,,27.0,Tai Kok Tsui,50.0,港式,2,0,0
rest57,豐泰牛什專家,,2.5,31.0,138.0,Sheung Shui,50.0,港式,8,5,13
rest58,骨煲皇．火鍋世家,Hot Pot Empire,3.0,78.0,2519.0,Tai Kok Tsui,101.0,港式,40,16,12
rest59,火紅火綠串到爆燒烤雞煲專門店,Living Fire 168,,,35.0,Jordan,50.0,川菜,2,0,1
rest60,陸奧酒場,Mutsu,4.0,26.0,860.0,Kowloon City,201.0,日本菜,15,2,4
rest61,石崗咖喱屋,Shaffi's Indian Restaurant,3.5,100.0,1671.0,Yuen long,51.0,印度菜,50,35,11
rest62,龍拉麵,,3.0,83.0,949.0,Tuen Mun,51.0,日本菜,23,12,30
rest63,The Salted Pig (新都會廣場),,4.0,55.0,1385.0,Kwai Fong,101.0,西式,42,8,2
rest64,大飯糖甜品小食屋,Sweet Canteen,4.0,125.0,2315.0,Tai Wai,50.0,港式,102,7,2
rest65,韓米Miso,,,,186.0,Tuen Mun,50.0,韓國菜,1,0,0
rest66,Trendy Snack,,5.0,3.0,72.0,Tin Shui Wai,50.0,港式,2,0,0
rest67,尚月廚房 (餃子湯麵專門店),Shang Yue Kitchen,4.0,16.0,706.0,Ma On Shan,50.0,粵菜,6,3,1
rest68,小窩雞海南雞專門店,Bosom Hainan Chicken,3.5,22.0,473.0,Wan Chai,51.0,新加坡菜,7,6,2
rest69,澳門冰室,Macau Cafe,3.0,94.0,876.0,Tsim Sha Tsui,50.0,港式,36,33,12
rest70,川味閣,,3.0,19.0,257.0,Tin Shui Wai,50.0,川菜,3,5,2
rest71,太平山餐廳,The Peak Lookout,3.5,319.0,5712.0,The Peak,401.0,多國菜,192,40,50
rest72,唐人館 (置地廣場),China Tang (置地廣場),4.0,44.0,7732.0,Central,401.0,粵菜,23,9,1
rest73,雞煲,,4.0,44.0,3521.0,Sai Wan,101.0,港式,31,5,0
rest74,八方雲集鍋貼水餃專門店,Bafang Dumplings,,,40.0,Ap Lei Chau,50.0,台灣菜,0,1,0
rest75,刈Bao台式創意小食,Gua bao,4.5,92.0,967.0,Kwai Fong,50.0,台灣菜,72,6,1
rest76,Han Spoon,,3.5,129.0,2716.0,Tsim Sha Tsui,101.0,韓國菜,65,36,13
rest77,Gusto - Taste Italian,,5.0,9.0,175.0,Tsim Sha Tsui,101.0,意大利菜,8,0,0
rest78,上林茶舍,Green Ginkgo Tea,4.0,30.0,3609.0,Sheung Wan,51.0,日本菜,22,4,0
rest79,相馬日式火鍋 荔枝角,Soma Shabu Shabu 荔枝角,3.5,176.0,10610.0,Lai Chi Kok,101.0,日本菜,117,20,14
rest80,牛涮鍋もっと,Mou Mou Motto,4.0,43.0,789.0,Lok Fu,101.0,日本菜,27,6,2
rest81,巧手製作,Crafted,4.0,12.0,77.0,Wong Tai Sin,50.0,港式,10,0,0
rest82,Usual Place Party & Studio,,,,37.0,Tsuen Wan,101.0,港式,0,0,0
rest83,蔡記小食,,3.5,28.0,402.0,Lamma Island,50.0,港式,14,14,0
rest84,新泰興,,3.5,11.0,939.0,Shum Shui Po,51.0,泰國菜,5,4,0
rest85,中泰味美,,3.5,9.0,244.0,To Kwa Wan,51.0,泰國菜,6,1,0
rest86,Beard Papa's,,4.0,9.0,144.0,Wan Chai,50.0,日本菜,4,1,0
rest87,新流連屋快餐小食串燒,,2.5,3.0,62.0,Tseung Kwan O,50.0,港式,1,1,1
rest88,大自然涼茶,,,,18.0,Shau Kei Wan,50.0,粵菜,1,0,0
rest89,Master Kama Catering,,3.5,12.0,338.0,Non Storefront,101.0,多國菜,6,0,3
rest90,CoCo Espresso,,4.0,29.0,3916.0,Wan Chai,50.0,西式,23,5,0
rest91,點心哥,Dim Sum Go,,,97.0,Ngau Tau Kok,50.0,粵菜,2,0,0
rest92,木糠甜品屋,Sawdust Dessert,3.5,62.0,131.0,Causeway Bay,50.0,港式,30,23,5
rest93,元気寿司,Genki Sushi,3.5,20.0,102.0,Tsz Wan Shan,101.0,日本菜,8,6,0
rest94,漁村美食,Fishing Village Gourmet Food,,,2.0,Tai O,50.0,港式,0,0,0
rest95,章記香港仔魚蛋王,,3.5,23.0,268.0,Sai Wan,50.0,港式,10,2,3
rest96,包點超人,Bao Dim Superman,,,49.0,Sai Wan,50.0,港式,2,0,0
rest97,忠記粥品 (軒尼詩道),,3.5,45.0,1459.0,Wan Chai,50.0,港式,25,3,6
rest98,西香記,Chang'An Taste,3.5,115.0,2646.0,Sai Wan,50.0,陝菜,72,12,12
rest99,Cali-Mex Taqueria,,,,36.0,Central,101.0,美國菜,1,0,0
rest100,富豪餅店,Regal Patisserie,,,32.0,Chek Lap Kok,50.0,法國菜,1,0,0
rest101,Almas Caviar Bar,,,,455.0,Tsim Sha Tsui,201.0,西式,1,0,0
rest102,樂華快餐,,,,6.0,Mong Kok,50.0,港式,0,0,0
rest103,澳門氹仔葡式餐館,,4.0,16.0,418.0,Yuen long,51.0,葡國菜,8,2,0
rest104,望月,Wang Yue,4.0,36.0,459.0,Kwai Chung,51.0,港式,29,3,0
rest105,金凱樓,,3.0,3.0,66.0,Tai Wai,51.0,粵菜,0,0,0
rest106,牛陣,Gyujin Shabu Shabu & Sukiyaki Restaurant,4.0,93.0,1219.0,Tai Po,101.0,日本菜,58,10,5
rest107,豐盛飲食管理公司,,,,2.0,Tsuen Wan,50.0,港式,0,0,0
rest108,南記冰室,Nam Kee Cafe,3.5,16.0,179.0,Kowloon City,50.0,港式,2,3,2
rest109,太興,Tai Hing,3.0,43.0,129.0,Aberdeen,51.0,港式,17,14,6
rest110,王幺妹黔川米線,,3.5,60.0,1051.0,Hung Hom,50.0,川菜,40,8,2
rest111,九份茶舍,Jiufen Tea House,4.0,48.0,1646.0,Mong Kok,50.0,台灣菜,23,5,3
rest112,金鶴拉麵 (蜆殼街),Kane Tsuru Ramen (蜆殼街),4.5,245.0,2598.0,Tin Hau,101.0,日本菜,220,10,1
rest113,Live Cafe Rhythm,,4.5,5.0,631.0,Mong Kok,51.0,西式,4,1,0
rest114,萃華飯堂,,3.5,13.0,70.0,Kwai Chung,50.0,港式,7,4,0
rest115,陸記燒臘,,,,8.0,Tseung Kwan O,50.0,港式,0,0,0
rest116,Turkish Kebab & Indian Restaurant,,4.5,28.0,972.0,Tsim Sha Tsui,51.0,印度菜,24,1,0
rest117,Curry Corner,,4.0,15.0,166.0,Shum Shui Po,50.0,印度菜,8,2,1
rest118,東涌紅酒屋,Tung Chung Wine House,,,11.0,Tung Chung,101.0,西式,0,0,0
rest119,周明園潮州粉麵餐廳,Chow Ming Yuen Chiu Chow Noodle Restaurant,3.0,32.0,112.0,Tai Po,50.0,潮州菜,17,7,2
rest120,貓之茶房,Cats Tea Room,,,69.0,Tsim Sha Tsui,51.0,港式,1,0,0
rest121,李記咖啡奶茶,,3.5,30.0,1289.0,Tai Po,50.0,港式,21,2,1
rest122,Flames (海濱匯),,4.5,211.0,6353.0,Kwun Tong,51.0,多國菜,188,8,4
rest123,財記美食,Choi Kei,4.0,7.0,274.0,San Po Kong,50.0,粵菜,4,1,0
rest124,雋園火鍋,The Glasshouse,3.5,37.0,918.0,North Point,201.0,港式,19,7,6
rest125,Grove Cafe,,3.0,47.0,561.0,Yau Tong,101.0,西式,10,17,8
rest126,Kim's Spoon (MegaBox),,3.0,106.0,2381.0,Kowloon Bay,101.0,韓國菜,27,36,22
rest127,祥囍煲仔小廚,Cheung Hei,4.0,157.0,9928.0,Shau Kei Wan,101.0,粵菜,96,8,3
rest128,陳意齋,,3.5,117.0,2892.0,Central,50.0,港式,72,26,7
rest129,星巴克咖啡,Starbucks Coffee,3.0,8.0,152.0,Wong Chuk Hang,50.0,美國菜,2,5,1
rest130,潤昌食堂,Tan Cheung Canteen,3.5,3.0,15.0,Tuen Mun,50.0,多國菜,2,0,1
rest131,翠龍餐室,,3.0,3.0,49.0,Shau Kei Wan,51.0,港式,0,2,0
rest132,大快活,Fairwood,3.5,20.0,85.0,Quarry Bay,50.0,港式,7,6,3
rest133,意樂餐廳 (幸福商場),Itamomo Cafe (幸福商場),2.0,4.0,158.0,Cheung Sha Wan,51.0,港式,1,1,0
rest134,洪強原味清湯腩咖喱專門店,,3.5,38.0,980.0,Tuen Mun,50.0,港式,22,4,2
rest135,帝豪海鮮酒家,Royal Grand Seafood Restaurant,3.0,16.0,230.0,Tseung Kwan O,201.0,粵菜,5,6,2
rest136,小肥牛蒸氣石鍋火鍋專門店,Calf Bone King,3.0,59.0,1418.0,Kwai Chung,101.0,港式,26,16,9
rest137,城市花園,City Garden,,,23.0,Tsuen Wan,51.0,西式,0,0,0
rest138,快活美食茶餐廳,Finewood Fastfood Restaurant,3.0,12.0,61.0,Sheung Wan,50.0,港式,2,6,2
rest139,新鳳凰餅店,New Phoenix Cake Shop,3.5,39.0,574.0,North Point,50.0,港式,24,10,2
rest140,小茶角,tea&corner,4.5,169.0,1521.0,Tuen Mun,50.0,港式,156,3,0
rest141,OCEAN THREE,,4.5,5.0,17.0,Shum Shui Po,201.0,西式,5,0,0
rest142,尚膳養顏滋補鍋,Fancy Hotpot,4.5,47.0,140.0,Mong Kok,101.0,港式,46,1,0
rest143,一粥麵,Super Super Congee & Noodle,3.5,10.0,78.0,Tai Po,50.0,港式,2,2,0
rest144,Good Day Coffee Co.,,4.0,13.0,1240.0,Jordan,50.0,西式,9,2,0
rest145,大快活,Fairwood,3.5,13.0,132.0,Causeway Bay,50.0,港式,7,2,1
rest146,北京樓,Peking Garden Restaurant,3.5,172.0,7218.0,Mong Kok,201.0,京菜,70,38,30
rest147,越之味,Tasty Vietnam HK,3.5,31.0,380.0,Tseung Kwan O,50.0,越南菜,12,5,5
rest148,瀧茶,Lung Cha,4.0,20.0,321.0,Tseung Kwan O,50.0,台灣菜,9,5,1
rest149,Song Bar,,,,6.0,Yau Tong,50.0,港式,0,0,1
rest150,翠華園藝燒烤場,Jade Garden,,,844.0,Stanley ,101.0,港式,1,1,0
rest151,發仔記,,4.0,3.0,234.0,Ap Lei Chau,51.0,粵菜,3,0,0
rest152,丸·茶手作 (通菜街),Bubble Tea Work (通菜街),3.5,22.0,734.0,Mong Kok,50.0,台灣菜,8,4,5
rest153,百份百餐廳 (置富嘉湖),Cafe 100% (置富嘉湖),3.5,11.0,517.0,Tin Shui Wai,50.0,港式,1,5,0
rest154,泰興餅店,,3.5,5.0,38.0,Yuen long,50.0,港式,3,2,0
rest155,茶湯會 (中港城),TP Tea (中港城),3.0,8.0,291.0,Tsim Sha Tsui,50.0,台灣菜,1,1,0
rest156,Pi Pie Bar & Restaurant,,,,46.0,Hung Hom,50.0,港式,0,0,0
rest157,鮨佐瀬,SUSHI SASE,4.0,21.0,4137.0,Central,801.0,日本菜,12,5,2
rest158,Odyssée,,4.5,32.0,5259.0,Tsim Sha Tsui,401.0,法國菜,25,2,0
rest159,UCC Cafe City 21,,3.5,56.0,351.0,Causeway Bay,101.0,日本菜,28,20,3
rest160,新三寶快餐店,,3.5,6.0,105.0,Tsuen Wan,50.0,港式,2,1,0
rest161,正 麻辣·茶·雲吞,,4.0,121.0,3314.0,Cheung Sha Wan,50.0,川菜,113,2,0
rest162,林昌記,Lam Cheong Kee,3.5,4.0,198.0,Shum Shui Po,50.0,港式,4,0,0
rest163,OTTO Lounge,,,,602.0,Central,101.0,西式,0,0,0
rest164,口利福,Ho Lee Fook,4.0,48.0,7299.0,Central,201.0,粵菜,21,10,3
rest165,板長壽司,Itacho Sushi,4.0,5.0,131.0,Tseung Kwan O,101.0,日本菜,2,1,0
rest166,富來魚旦粉麵茶餐廳,,2.5,10.0,77.0,Tuen Mun,50.0,港式,1,4,4
rest167,寶城餅店,Po Shing Cake Shop,3.5,46.0,335.0,Yuen long,50.0,西式,35,8,1
rest168,甜家,Sweet Home,4.5,16.0,360.0,Sai Wan,50.0,港式,12,0,1
rest169,日日鮮豆漿美食店,,3.5,5.0,58.0,Ho Man Tin,50.0,港式,2,2,1
rest170,牛極 (好順利大廈),Gyuugoku Stone Grill Steak (好順利大廈),4.0,71.0,995.0,Yuen long,51.0,日本菜,61,4,5
rest171,新金島魚蛋王,New Island Cafe,3.0,14.0,19.0,Tsim Sha Tsui,50.0,港式,0,12,1
rest172,品香雞,,,,62.0,Kwai Fong,51.0,港式,2,0,0
rest173,pho.dle.bar,,4.0,15.0,1623.0,Tsim Sha Tsui,101.0,越南菜,9,4,0
rest174,上海廳1930,Shanghai Teng 1930,3.5,185.0,3632.0,Wong Tai Sin,101.0,滬菜,120,35,10
rest175,LN COFFEE,,4.0,75.0,5198.0,Sai Wan,51.0,西式,55,8,0
rest176,香港人為食屋,HK Yummy House,,,148.0,Cheung Sha Wan,50.0,港式,1,0,0
rest177,綠林甜品,Luk Lam Dessert,3.5,565.0,8266.0,Shum Shui Po,50.0,港式,369,104,36
rest178,鮨㐂,SUSHI YOROKOBU,4.5,109.0,9413.0,Causeway Bay,801.0,日本菜,94,6,5
rest179,Rift Soho,,,,53.0,Central,101.0,西式,1,0,0
rest180,棠人街餐館,Taitongese Cuisine,2.5,6.0,50.0,Yuen long,50.0,粵菜,1,3,0
rest181,秋田鐵板燒刺身專門店,"Akita Teppanyaki, Sashimi",4.0,244.0,14722.0,Tsim Sha Tsui,401.0,日本菜,185,18,16
rest182,Chateraise,,4.0,11.0,252.0,Tuen Mun,50.0,日本菜,4,2,0
rest183,The Brew Corner,,3.5,19.0,873.0,Fo Tan,51.0,西式,12,2,3
rest184,Di Lux Ristoranti & Bar,,3.5,16.0,28.0,Central,101.0,意大利菜,12,1,2
rest185,龍順軒海鮮酒家,,3.0,13.0,68.0,Shau Kei Wan,101.0,粵菜,3,4,5
rest186,鵝記渣咋,Ngor Kee Ja Ja,3.0,19.0,382.0,Yau Ma Tei,50.0,港式,5,6,3
rest187,S.girl越式料理,S. girl,3.5,9.0,151.0,Kwun Tong,50.0,越南菜,4,1,1
rest188,珍煮丹,Truedan,4.5,33.0,262.0,Kwai Fong,50.0,台灣菜,26,1,1
rest189,尋味館日本食品專門店,,,,28.0,Tai Kok Tsui,50.0,日本菜,0,0,0
rest190,香麥烘焙坊,Aroma,,,18.0,Ap Lei Chau,50.0,粵菜,0,0,0
rest191,海記合桃坊甜品,Hoi Kee Walnut Place,3.5,26.0,190.0,Prince Edward,50.0,港式,9,9,1
rest192,寢宮,Badroom Bar & Restaurant,4.5,215.0,3662.0,Tsim Sha Tsui,201.0,西式,196,3,1
rest193,龍江美食,,,,19.0,Kwun Tong,50.0,港式,0,0,0
rest194,港青宴會廳,YMCA of Hong Kong Banquet Room,3.5,6.0,182.0,Tsim Sha Tsui,201.0,粵菜,3,1,1
rest195,Dan Ryan's Chicago Grill (太古城中心),,3.0,106.0,5852.0,Taikoo ,201.0,美國菜,32,31,25
rest196,海安咖啡室,Hoi On Cafe,3.5,311.0,16098.0,Sheung Wan,50.0,港式,175,79,20
rest197,魔廚料理,GOOD DELI,5.0,8.0,175.0,Sai Wan,101.0,西式,8,0,0
rest198,The Gallery Bar & Restaurant,,4.5,16.0,451.0,Lantau,51.0,多國菜,14,2,0
rest199,百事吉餅店,Pak See Kut Cake Shop,3.5,72.0,1080.0,Wan Chai,50.0,港式,34,22,3
rest200,耀記粥麵店,,3.5,4.0,81.0,Kwai Chung,50.0,港式,3,1,0
rest201,友記小食店,,3.5,6.0,180.0,Wong Tai Sin,50.0,港式,6,0,0
rest202,臨記車仔麵,Good Take Cart Noodles,4.0,85.0,357.0,Tin Shui Wai,50.0,港式,62,4,1
rest203,吉野家,Yoshinoya,3.5,6.0,55.0,Pok Fu Lam,50.0,日本菜,2,3,0
rest204,詩房菜,Sa Sa Loves Kitchen,4.5,32.0,409.0,Tsim Sha Tsui,401.0,多國菜,25,1,0
rest205,銀禧閣,Jubilee Club,3.5,21.0,70.0,Ho Man Tin,50.0,港式,6,5,2
rest206,近廚得食BBQ,,,,3.0,Wong Tai Sin,51.0,港式,0,0,0
rest207,我杯茶,My Cup Of Tea,4.0,136.0,7352.0,Wan Chai,50.0,港式,72,18,9
rest208,星巴克咖啡,Starbucks Coffee,3.5,11.0,348.0,Tsim Sha Tsui,50.0,美國菜,5,2,0
rest209,新有記,,3.5,33.0,214.0,Sai Kung,51.0,港式,15,16,1
rest210,千日里,The Chinnery,4.0,26.0,1895.0,Central,201.0,西式,20,1,1
rest211,健康工房,HealthWorks,,,9.0,Tseung Kwan O,50.0,港式,0,0,0
rest212,大澳花膠專門店,Tai O Fish Maw Shop,4.0,3.0,159.0,Tai O,101.0,農家菜,3,0,0
rest213,勝記海鮮酒家,Sing Kee Seafood Restaurant,4.0,157.0,7116.0,Sai Kung,201.0,粵菜,99,15,7
rest214,百老匯戲院小賣部,,,,7.0,Tsuen Wan,50.0,港式,1,0,0
rest215,金濠茶餐廳,Kam Ho Restaurant,,,34.0,Tuen Mun,50.0,港式,0,0,0
rest216,點·子·巷,Bistro Lane,3.5,110.0,4036.0,Quarry Bay,51.0,台灣菜,70,18,4
rest217,麥當勞,McDonald's,2.5,3.0,44.0,The Peak,50.0,美國菜,2,0,0
rest218,隨緣坊餐廳,,3.5,3.0,35.0,Hung Hom,50.0,港式,1,0,1
rest219,Harbour Grand Café,,3.5,330.0,25856.0,North Point,401.0,多國菜,182,56,52
rest220,新高麗苑韓國餐廳,New Korean B.B.Q. Restaurant,,,104.0,Wan Chai,101.0,韓國菜,2,1,1
rest221,名昇館,,4.0,69.0,316.0,Ngau Tau Kok,50.0,港式,60,5,1
rest222,拉麵台風,Ramen Taifu,4.0,452.0,12042.0,Tsuen Wan,51.0,日本菜,303,68,34
rest223,冠豐野生生魚煲,,4.0,4.0,325.0,Yuen long,101.0,港式,2,1,0
rest224,香港阿姐街頭小食,,,,22.0,Prince Edward,50.0,港式,0,0,0
rest225,童夢仙境,Magic Wonderland,,,10.0,Kwun Tong,101.0,多國菜,0,0,0
rest226,小食皇,,3.0,14.0,393.0,Shau Kei Wan,50.0,港式,5,1,3
rest227,俊達軒茶餐廳小廚,,,,105.0,Kwai Chung,50.0,港式,0,2,0
rest228,東海堂,Arome Bakery,,,28.0,Kowloon City,50.0,西式,0,1,1
rest229,英記粉麵,,3.5,7.0,60.0,Shek Kip Mei,50.0,粵菜,3,1,0
rest230,四季良晨 (新都城中心),Cafe Mikoo (新都城中心),4.5,432.0,4448.0,Tseung Kwan O,51.0,台灣菜,392,18,2
rest231,Italian Tomato Café & Grill,,3.5,60.0,819.0,Tsuen Wan,51.0,西式,24,23,4
rest232,麵屋福,Menyafuku,4.0,118.0,6424.0,Tsuen Wan,51.0,日本菜,80,13,5
rest233,SIP.ART,,5.0,7.0,325.0,Tsim Sha Tsui,50.0,台灣菜,6,0,0
rest234,裕德素食,Yue Tak Vegetarian,4.0,5.0,204.0,Ngau Tau Kok,50.0,港式,4,1,0
rest235,太興,Tai Hing,3.0,53.0,278.0,Lok Fu,51.0,港式,22,11,7
rest236,菓之店,Fruity Land,3.0,10.0,20.0,Tai Wai,50.0,港式,4,3,3
rest237,沙田馬場廂房,Sha Tin Racecourse Private Box,4.0,10.0,101.0,Shatin,401.0,多國菜,5,3,0
rest238,咖啡賞館,Browny Cafe,3.5,114.0,7119.0,Tsuen Wan,50.0,西式,67,30,4
rest239,農家嘢,,,,21.0,Kwai Chung,50.0,港式,2,0,0
rest240,4口,Four Bites,4.0,5.0,168.0,Central,101.0,閩菜,1,4,0
rest241,AEON Supermarket,,3.5,6.0,34.0,Lam Tin,50.0,多國菜,4,0,0
rest242,正九清湯腩,,4.5,22.0,527.0,Kwun Tong,50.0,粵菜,21,0,0
rest243,華御結,Hana-Musubi,3.5,19.0,166.0,Tai Wai,50.0,日本菜,9,3,0
rest244,泰潮,Nittaya Restaurant,3.5,20.0,317.0,Fan Ling,51.0,泰國菜,8,5,1
rest245,星巴克咖啡,Starbucks Coffee,,,154.0,Tsuen Wan,50.0,美國菜,0,0,1
rest246,CEO Neway,,3.5,48.0,1363.0,Causeway Bay,101.0,港式,21,15,2
rest247,泰美美食,,4.0,10.0,56.0,Tuen Mun,50.0,泰國菜,7,0,0
rest248,必勝客,Pizza Hut,4.0,12.0,142.0,Shatin,101.0,意大利菜,6,4,0
rest249,真．奶,Real Milk,4.0,12.0,327.0,Yuen long,50.0,港式,6,0,0
rest250,5道,Five Senses,,,25.0,Shum Shui Po,50.0,台灣菜,0,0,0
rest251,稻香 (建生商場),Tao Heung (建生商場),3.5,49.0,378.0,Tuen Mun,101.0,粵菜,20,13,3
rest252,宏發燒鵝餐室,Wang Fat Roasted Goose Restaurant,3.0,6.0,69.0,Central,51.0,粵菜,1,2,2
rest253,Al Dente,,3.5,128.0,4450.0,Central,201.0,意大利菜,81,24,13
rest254,赤橋拉麵,Akabashi Ramen,3.5,147.0,5011.0,Tuen Mun,51.0,日本菜,88,31,13
rest255,Honi Honi Tiki Cocktail Lounge,,4.0,20.0,3840.0,Central,101.0,多國菜,12,1,1
rest256,太平洋咖啡,Pacific Coffee,3.0,16.0,346.0,Central,50.0,美國菜,8,4,2
rest257,茶理史,,3.5,16.0,214.0,Kowloon City,50.0,台灣菜,6,3,1
rest258,大家樂,Café de Coral,3.0,26.0,155.0,Choi Hung,50.0,港式,10,7,6
rest259,宏德食店,Wang Tak Fast Food,3.5,29.0,234.0,Chai Wan,50.0,粵菜,18,6,1
rest260,翠華餐廳,Tsui Wah Restaurant,3.0,3.0,60.0,Kowloon Bay,51.0,港式,1,0,1
rest261,六本木屋台,ROPPONGI,,,29.0,San Po Kong,51.0,日本菜,1,0,0
rest262,歡樂海鮮酒家,,3.5,98.0,779.0,Lau Fau Shan,401.0,粵菜,43,30,19
rest263,米作飯壽司刺身專門店,MI ZUO FAN SUSHI SASHIMI SHOP,4.5,13.0,116.0,Shum Shui Po,50.0,日本菜,8,0,0
rest264,135果園雞,,3.0,12.0,332.0,Wan Chai,50.0,粵菜,6,1,2
