,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest23026,南亭,Nan Tei,3.5,38.0,260.0,Causeway Bay,201.0,日本菜,19,7,5
rest23027,盈佳茶座,,3.5,3.0,78.0,Fan Ling,51.0,客家菜,1,1,0
rest23028,Bayfare Social,,4.0,72.0,10067.0,Tsim Sha Tsui,201.0,西式,48,10,3
rest23029,櫻花樹下,,3.5,24.0,458.0,Tin Shui Wai,50.0,日本菜,14,2,2
rest23030,3R,,4.0,17.0,70.0,North Point,201.0,西式,13,0,3
rest23031,爭鮮外帶壽司,Sushi Take-Out,,,18.0,Mong Kok,50.0,日本菜,0,0,0
rest23032,米走雞Deluxe,Running Chicken Deluxe,4.0,476.0,16453.0,Causeway Bay,101.0,港式,437,13,9
rest23033,華億燒臘飯店,Wa Yik Roast Restaurant,,,192.0,Tai Kok Tsui,51.0,粵菜,1,0,0
rest23034,龍翔酒家,Long Cheung Chinese Cuisine,,,127.0,Chai Wan,51.0,粵菜,1,0,0
rest23035,食好啲,,2.5,8.0,110.0,Tseung Kwan O,50.0,港式,0,2,2
rest23036,明暉小廚餐廳,Ming Fai Kitchen,3.5,10.0,53.0,San Po Kong,50.0,粵菜,3,5,0
rest23037,生師傅 古法燒味,Master Sang,4.5,19.0,59.0,Kwai Fong,51.0,粵菜,18,1,0
rest23038,山下菓子,Kingsley Desserts & Gourmandises,,,29.0,Tseung Kwan O,50.0,日本菜,0,0,0
rest23039,奇華餅家,Kee Wah Bakery,4.0,4.0,22.0,Tsuen Wan,50.0,港式,2,1,0
rest23040,潮興正宗滷味,,3.0,4.0,95.0,Hung Hom,50.0,潮州菜,0,3,0
rest23041,金燕島潮州酒樓,Come-Into Chiuchow Restaurant,4.5,21.0,343.0,Tsim Sha Tsui,401.0,潮州菜,20,1,0
rest23042,譚仔三哥米線,TamJai SamGor,4.0,21.0,262.0,Lok Fu,50.0,滇菜,11,3,0
rest23043,林村小食甜品屋,,3.0,5.0,71.0,Tai Wo,51.0,港式,1,2,0
rest23044,新創意士多,,4.0,5.0,39.0,Sai Kung,50.0,港式,4,0,0
rest23045,八王子外賣便當,Hachioji Bento Delivery,4.5,9.0,19.0,Tsim Sha Tsui,51.0,日本菜,9,0,0
rest23046,Mimila,,4.0,347.0,5633.0,Shatin,101.0,馬來西亞菜,250,39,18
rest23047,出羽櫻鐵板料理,Sakuragi Teppanyaki,3.5,75.0,2042.0,Hung Hom,201.0,日本菜,44,15,6
rest23048,麵皇自家麵,King Noodles,3.5,72.0,1607.0,Jordan,51.0,粵菜,28,18,12
rest23049,Bones & Blades,,4.0,5.0,603.0,Sai Wan,201.0,西式,4,0,0
rest23050,Bakehouse,,4.0,596.0,50830.0,Wan Chai,51.0,西式,406,79,18
rest23051,沁心甜,,2.0,3.0,30.0,Tsz Wan Shan,50.0,港式,1,1,1
rest23052,華御結,Hana-Musubi,4.5,4.0,71.0,Kwun Tong,50.0,日本菜,4,0,0
rest23053,Cova Ristorante & Caffe,,3.5,171.0,482.0,Tsim Sha Tsui,201.0,西式,83,39,34
rest23054,阿波羅,Appolo,,,18.0,Kwai Chung,50.0,港式,1,1,0
rest23055,Nebraska Member of Louis Steak House,,3.5,57.0,3608.0,Wan Chai,201.0,西式,28,10,5
rest23056,回味館,,4.0,24.0,1358.0,Yuen long,50.0,粵菜,15,5,0
rest23057,南北樓,The Red Pepper Restaurant,3.5,34.0,1659.0,Causeway Bay,101.0,川菜,14,7,7
rest23058,榮式燒雞扒,Wing's Catering,3.5,166.0,3102.0,Causeway Bay,51.0,港式,85,38,23
rest23059,加藤屋,Katoya,4.0,63.0,2745.0,Shum Shui Po,50.0,日本菜,41,7,5
rest23060,輝記香港仔魚蛋粉,,4.0,4.0,61.0,Yuen long,50.0,港式,3,0,0
rest23061,美味屋,Yummy House,3.5,4.0,35.0,Tai Wai,50.0,港式,2,2,0
rest23062,天龍軒,Tin Lung Heen,4.0,188.0,12608.0,Tsim Sha Tsui,401.0,粵菜,131,28,7
rest23063,Little Garden X DKLS,,4.5,5.0,94.0,Kwun Tong,51.0,多國菜,4,0,0
rest23064,The Wall Street Bar & Lounge,The Wall Street Bar & Lounge,4.5,26.0,534.0,Tsim Sha Tsui,101.0,多國菜,20,1,0
rest23065,銘興山西刀削麵 (黃埔新邨),,4.0,43.0,2351.0,Hung Hom,51.0,晉菜,28,2,1
rest23066,粥如意粥粉麵湯飯餐廳,,4.0,18.0,122.0,Yuen long,50.0,港式,13,2,0
rest23067,荳子 (大埔超級城),BEANS The Courtyard (大埔超級城),3.5,222.0,6843.0,Tai Po,101.0,西式,113,48,17
rest23068,品嚐,Savor,,,50.0,Kwai Chung,50.0,多國菜,0,0,0
rest23069,金不換泰國餐廳,Sweet Basil Thai Cuisine,4.0,37.0,2616.0,Causeway Bay,101.0,泰國菜,18,12,0
rest23070,合興,,3.5,16.0,880.0,Kowloon Bay,50.0,港式,11,4,1
rest23071,Comma Cafe,,4.0,20.0,280.0,Mong Kok,51.0,西式,18,0,2
