,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest0,肯德基家鄉雞 (KFC),Kentucky Fried Chicken,3.5,7.0,140.0,Tai Po,50.0,美國菜,"Shop 501-504, G/F, Tai Po Mega Mall Zone C, 9 On Pong Road, Tai Po",0,1,0
rest1,太平洋咖啡,Pacific Coffee,,,21.0,Discovery Bay,50.0,美國菜,"Shop 02, Discovery Bay Pier, Discovery Bay",0,0,0
rest2,小正大福,Just for mochi,,,308.0,Kwun Tong,50.0,日本菜,"Shop B, 4/F, Manning Industrial Building, 116-118 How Ming Street, Kwun Tong",1,0,0
rest3,德朗甜品,Dessert Country,4.5,16.0,419.0,Kowloon City,50.0,西式,"Shop B005, G/F, Ching Long Shopping Centre, Kowloon City",14,1,0
rest4,龍門客棧,Dragon Inn,,,32.0,Ma On Shan,101.0,滬菜,"Shop G06, G/F, We Go Mall, 16 Po Tai Street, Ma On Shan",0,0,0
rest5,Cafe Oasis,,3.5,9.0,272.0,Kowloon Bay,51.0,西式,"Shop 1A1, G/F, Metro Centre Phase 1, 32 Lam Hing Street, Kowloon Bay",3,2,1
rest6,達記燒臘飯店,,3.0,4.0,40.0,Ap Lei Chau,50.0,港式,"G/F, 97 Ap Lei Chau Main Street, Ap Lei Chau",3,0,1
rest7,坤記腸粉,Riceroll,3.5,8.0,163.0,Tuen Mun,50.0,港式,"Shop 3, G/F, Golden Orchid Court, 3 Luk Yeun Street, Tuen Mun",3,2,1
rest8,Mr. Rich Bakery,,3.5,9.0,199.0,Kwun Tong,51.0,西式,"3/F, Union Industrial Building, 116 Wai Yip Street, Kwun Tong",6,3,0
rest9,德麥烘焙,Freshday Bakery,3.5,6.0,69.0,Tai Po,50.0,港式,"Shop S4A, G/F, Tai Yuen Shopping Centre Phase A, 10 Ting Kok Road, Tai Po",4,1,1
rest10,MX (港鐵粉嶺站),,3.0,6.0,34.0,Fan Ling,50.0,港式,"Shop FAN13, Fanling MTR Station, Fanling",2,0,2
rest11,Cow Bean (TKO Gateway),,3.5,98.0,1695.0,Tseung Kwan O,101.0,日本菜,"Shop 140-141, 1/F, East Wing, TKO Gateway, 2 Sheung Ning Road, Tseung Kwan O",60,18,11
rest12,The Hong Kong Juice by Bless,,,,23.0,Mid-Levels,51.0,西式,"1 Prince Terrace, Mid-Levels",0,0,0
rest13,松坂日本料理,Matsuzaka Japanese Restaurant,3.5,66.0,772.0,Tsim Sha Tsui,201.0,日本菜,"UG/F, South Seas Centre, 75 Mody Road, Tsim Sha Tsui",38,11,12
rest14,聖安娜餅屋,Saint Honore Cake Shop,3.5,9.0,16.0,Yau Tong,50.0,港式,"Shop 10, G/F, Yau Lai Shopping Centre, Yau Lai Estate, Yau Tong",2,5,1
rest15,豪大大雞排,HOT-STAR Large Fried Chicken,4.0,5.0,148.0,Yuen long,50.0,台灣菜,"Shop G2, G/F, 66 Kau Yuk Road, Yuen Long",2,1,0
rest16,當文歷餅店 by Dominique Ansel,Dang Wen Li by Dominique Ansel,3.5,197.0,11001.0,Tsim Sha Tsui,51.0,多國菜,"Shop OT G63A, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",98,64,12
rest17,老Come煎餅,,3.5,45.0,3253.0,Tin Hau,50.0,港式,"Shop A2B, G/F, 15-17 Ngan Mok Street, Tin Hau",21,10,3
rest18,茶王冰室 (洗衣街),Tea Master (洗衣街),3.5,145.0,5651.0,Mong Kok,51.0,港式,"G/F, 113 Sai Yee Street, Mong Kok",68,28,11
rest19,東海酒家,East Ocean Restaurant,3.5,91.0,3647.0,Quarry Bay,101.0,粵菜,"2/F, Berkshire House, 25 Westlands Road, Quarry Bay",38,17,11
rest20,願望樹美食,,,,30.0,Cheung Sha Wan,51.0,港式,"Shop A3, G/F, Smiling Plaza, 162-188 Un Chau Street, Cheung Sha Wan",0,2,0
rest21,Burger Begin,,4.5,64.0,484.0,Hung Hom,51.0,西式,"Shop 1, G/F, Golden Court, 58 Wuhu Street, Hung Hom",61,0,1
rest22,Kinson Burger & Bar,,3.5,51.0,1281.0,Quarry Bay,51.0,港式,"Shop 4, G/F, Stanhope House, 738 King's Road, Quarry Bay",24,12,4
rest23,德記,Tak Kee,,,24.0,Wong Tai Sin,50.0,港式,"CF 7-8, 2/F, Tai Shing Street Market, 121 Choi Hun, Wong Tai Sin",0,0,0
rest24,一芳台灣水果茶,Yifang Taiwan Fruit Tea,3.5,15.0,202.0,Wan Chai,50.0,台灣菜,"G/F, 292 Hennessy Road, Wan Chai",8,4,2
rest25,富記驛站,Fu Kee,3.5,9.0,202.0,Tai Po,101.0,粵菜,"Shop CFS1-4, Kwong Fuk Market, G/F, Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po",2,3,1
rest26,麻辣派,Chili Club,3.5,43.0,1943.0,Mong Kok,50.0,川菜,"Shop M, G/F, Witty Commercial Building Deli 2, 1A-1L Tung Choi Street, Mong Kok",29,5,5
rest27,櫻川丼,Sakura Kawa Don,4.0,17.0,770.0,Yuen long,50.0,日本菜,"Shop A, G/F, Hung Fat House, 87-99 Kan Yuk Road, Yuen Long",11,3,0
rest28,Oma's Kitchen,,3.5,141.0,5880.0,Ma Wan,101.0,德國菜,"1/F, Beach Commercial Complex, Park Island, Ma Wan",90,26,10
rest29,Hana  Eggettes,,3.5,4.0,58.0,Yau Tong,50.0,港式,"Shop 133, 1/F, Lei Yue Mun Plaza, 80 Lei Yue Mun Road, Yau Tong",2,1,0
rest30,Mak Mak,,3.5,68.0,5899.0,Central,201.0,泰國菜,"Shop 217A, 2/F, Atrium, The Landmark, 15 Queen's Road Central, Central",31,15,4
rest31,Fusion Kitchen,,,,78.0,Jordan,51.0,印度菜,"G/F, 2 Nanking Street, Jordan",0,0,0
rest32,太平洋酒吧,Bar Pacific,,,92.0,Tai Wai,101.0,多國菜,"Shop A & B, G/F, Nin Fung Building, 82-86 Chik Chuen Street, Tai Wai",0,0,0
rest33,Crostini Bakery & Cafe,,,,9.0,Lam Tin,50.0,法國菜,"Shop 218B, 2/F, Kai Tin Shopping Centre, 50 Kai Tin Road, Lam Tin",0,0,0
rest34,蘭芳園,Lan Fong Yuen,3.0,204.0,3947.0,Sheung Wan,50.0,港式,"Shop 304D, 3/F, Shun Tak Centre, 168-200 Connaugh Road Central, Sheung Wan",62,57,50
rest35,牛肉拉麵,,4.0,7.0,144.0,Hung Hom,50.0,陝菜,"G/F, 2D Bulkeley Street, Hung Hom",4,1,0
rest36,一粥麵,Super Super Congee & Noodle,3.0,14.0,78.0,Tung Chung,50.0,港式,"Shop 5-6, 1/F, The Visionary, 1 Ying Hong Street, Tung Chung",3,1,3
rest37,金源,K. Yuen,3.5,27.0,192.0,Tsing Yi,50.0,港式,"Shop 8, G/F,Tsing Yi Commercial Complex,10 Fung Shue Wo Road, Tsing Yi",8,7,4
rest38,台灣廣良興食品,,4.0,5.0,67.0,Yau Ma Tei,50.0,港式,"G/F, 493A Nathan Road, Yau Ma Tei",4,1,0
rest39,明記潮館,Ming Kee,4.0,375.0,11258.0,Mong Kok,101.0,潮州菜,"3/F, Portland 180+, 180 Portland Street, Mong Kok",300,29,10
rest40,Youni,,4.0,19.0,1206.0,Central,51.0,多國菜,"16/F, The L. Place, 139 Queen's Road Central, Central",12,3,0
rest41,ALIVE EATERY by Alive Food,,4.5,9.0,597.0,Shum Shui Po,51.0,西式,"G/F, 131 Yu Chau Street, Sham Shui Po",8,0,0
rest42,第一城冰站,City One Plaza Cafe,3.0,82.0,407.0,Shatin,50.0,港式,"Shop G65, G/F, City One Plaza, Sha Tin",35,16,12
rest43,小廚港作,Rocoma Kitchen,3.5,31.0,299.0,Lai Chi Kok,50.0,港式,"Shop 103A&B, 1/F, Cheung Sha Wan Plaze, 833 Cheung Sha Wan Road, Lai Chi Kok",13,8,2
rest44,水鄉茶餐廳,,,,3.0,Tai O,50.0,港式,"G/F, 49 Tai O Wing On Street, Tai O",0,0,0
rest45,和順記,,4.0,42.0,3410.0,Yau Ma Tei,50.0,港式,"G/F, 24 Pitt Street, Yau Ma Tei",24,3,1
rest46,串燒茶寮,,,,66.0,Fo Tan,50.0,港式,"Shop L10, G/F, Wah Yiu Industrial Centre, 30-32 Au Pui Wan Street, Fo Tan",0,0,0
rest47,鍋心粥底火鍋,The Cosmopolitan,4.5,97.0,10120.0,Tai Wai,101.0,粵菜,"G/F, 14 Chik Chuen Street, Tai Wai",70,6,2
rest48,兩草,,4.0,71.0,8772.0,Causeway Bay,50.0,港式,"G/F, 126 Tung Lo Wan Road, Causeway Bay",39,18,3
rest49,星河小食,Starship,4.0,28.0,953.0,Sai Wan Ho,50.0,港式,"Shop 8, G/F., Wealthy Plaza, 138 Shau Kei Wan Road, Sai Wan Ho",23,3,2
rest50,MOS Burger,,3.5,9.0,114.0,Tsing Yi,50.0,日本菜,"Shop 203-203A, 2/F., Cheung Fat Plaza, Cheung Fat Estate, 6 Tam Kon Shan Road, Tsing Yi",6,3,0
rest51,Casa Kitchen,,4.5,88.0,635.0,Shek Kip Mei,51.0,意大利菜,"Shop 1, G/F, Nam Shan Shopping Centre, Nam Shan Estate, Shek Kip Mei",85,2,0
rest52,大棧,,,,8.0,Chai Wan,101.0,港式,"Shop 141, G/F, Sun Chui Shopping Centre, 233 Chai Wan Road, Chai Wan",0,0,0
rest53,粵 (香港黃金海岸酒店),YUE (香港黃金海岸酒店),4.0,95.0,2521.0,Tuen Mun,201.0,粵菜,"LG/F, Hong Kong Gold Coast Hotel, 1 Castle Peak Road, Hong Kong, Tuen Mun",59,6,1
rest54,Chill Cafe Bar & Grill,,4.0,56.0,3647.0,Kowloon Bay,101.0,意大利菜,"Podium Garden, 2/F, Exchange Tower, 33 Wang Chiu Road, Kowloon Bay",32,10,5
rest55,Tate Dining Room & Bar,,4.0,42.0,2924.0,Central,801.0,法國菜,"G/F, 59 Elgin St, Central",31,5,2
rest56,福星快餐,,,,27.0,Tai Kok Tsui,50.0,港式,"Shop 15, Fok Sing Factory Building, 2 Walnut Street, Tai Kok Tsui",2,0,0
rest57,豐泰牛什專家,,2.5,31.0,138.0,Sheung Shui,50.0,港式, ,8,5,13
rest58,骨煲皇．火鍋世家,Hot Pot Empire,3.0,78.0,2519.0,Tai Kok Tsui,101.0,港式,"Shop 1-3, G/F-1/F, Kamga Mansion, 2-16 Pine Street, Tai Kok Tsui",40,16,12
rest59,火紅火綠串到爆燒烤雞煲專門店,Living Fire 168,,,35.0,Jordan,50.0,川菜,"G/F, Man Wah Building, 10 Man Wui Street, Ferry Street, Jordan",2,0,1
rest60,陸奧酒場,Mutsu,4.0,26.0,860.0,Kowloon City,201.0,日本菜,"G/F, 15 Lion Rock Road, Kowloon City",15,2,4
rest61,石崗咖喱屋,Shaffi's Indian Restaurant,3.5,100.0,1671.0,Yuen long,51.0,印度菜,"Shop 5, G/F, Fook Tak Building, 234 Castle Peak Road, Yuen Long",50,35,11
rest62,龍拉麵,,3.0,83.0,949.0,Tuen Mun,51.0,日本菜,"Shop 11, G/F, Hoi Shing Building, 16-34 Tak Ching Court, Tuen Mun",23,12,30
rest63,The Salted Pig (新都會廣場),,4.0,55.0,1385.0,Kwai Fong,101.0,西式,"Shop 531&540, 5/F, Metroplaza, 223 Hing Fong Road, Kwai Fong",42,8,2
rest64,大飯糖甜品小食屋,Sweet Canteen,4.0,125.0,2315.0,Tai Wai,50.0,港式,"Shop 5-8, Cooked Food Stall, Mei Lam Estate, 30 Mei Tin Road, Tai Wai",102,7,2
rest65,韓米Miso,,,,186.0,Tuen Mun,50.0,韓國菜,"Shop 125, Leung King Market, G/F, Leung King Plaza, 31 Tin King Road, Tuen Mun",1,0,0
rest66,Trendy Snack,,5.0,3.0,72.0,Tin Shui Wai,50.0,港式,"Shop LG01, LG/F, Tin Yiu Plaza 2 Tin Wu Road, Tin Shui Wai",2,0,0
rest67,尚月廚房 (餃子湯麵專門店),Shang Yue Kitchen,4.0,16.0,706.0,Ma On Shan,50.0,粵菜,"Shop G-3/03, G/F, MOSTown Street (Phase 3), 8 On Shing Street, Ma On Shan",6,3,1
rest68,小窩雞海南雞專門店,Bosom Hainan Chicken,3.5,22.0,473.0,Wan Chai,51.0,新加坡菜,"G/F, 109 Hennessy Road, Wan Chai, Wan Chai",7,6,2
rest69,澳門冰室,Macau Cafe,3.0,94.0,876.0,Tsim Sha Tsui,50.0,港式,"Shop 6B, 7B, 12 B, Tsim Sha Tsui Mansion, 83-97 Nathan Road, Tsim Sha Tsui",36,33,12
rest70,川味閣,,3.0,19.0,257.0,Tin Shui Wai,50.0,川菜,"Shop 1010, 1/F, One Sky Mall, 8 Tin Sau Road, Tin Shui Wai",3,5,2
rest71,太平山餐廳,The Peak Lookout,3.5,319.0,5712.0,The Peak,401.0,多國菜,"121 Peak Road, The Peak",192,40,50
rest72,唐人館 (置地廣場),China Tang (置地廣場),4.0,44.0,7732.0,Central,401.0,粵菜,"Shop 411-413, 4/F., Landmark Atrium, 15 Queen's Road Central, Central",23,9,1
rest73,雞煲,,4.0,44.0,3521.0,Sai Wan,101.0,港式,"Cooked Food Centre, 2/F, Smithfield Municipal Service Building, 12K Smithfield, Kennedy Town, Western District",31,5,0
rest74,八方雲集鍋貼水餃專門店,Bafang Dumplings,,,40.0,Ap Lei Chau,50.0,台灣菜,"Shop 5, G/F, Marina Square West Centre, South Horizons, Ap Lei Chau",0,1,0
rest75,刈Bao台式創意小食,Gua bao,4.5,92.0,967.0,Kwai Fong,50.0,台灣菜,"Shop 3069-T26&T27, Top World, 3/F, Kwai Chung Plaza, 7 Kwai Foo Road, Kwai Fong",72,6,1
rest76,Han Spoon,,3.5,129.0,2716.0,Tsim Sha Tsui,101.0,韓國菜,"G/F, 3 Kimberley Street, Tsim Sha Tsui",65,36,13
rest77,Gusto - Taste Italian,,5.0,9.0,175.0,Tsim Sha Tsui,101.0,意大利菜,"Shop G3, 3A, 5 & 6, G/F, Mirror Tower, 61 Mody Road, Tsim Sha Tsui",8,0,0
rest78,上林茶舍,Green Ginkgo Tea,4.0,30.0,3609.0,Sheung Wan,51.0,日本菜,"Shop 1A, G/F, 1 Tai Ping Shan Street, Sheung Wan",22,4,0
rest79,相馬日式火鍋 荔枝角,Soma Shabu Shabu 荔枝角,3.5,176.0,10610.0,Lai Chi Kok,101.0,日本菜,"Shop B-C, 1/F, Cheung Lung Industrial Building, No. 10 Cheung Yee Street, Lai Chi Kok",117,20,14
rest80,牛涮鍋もっと,Mou Mou Motto,4.0,43.0,789.0,Lok Fu,101.0,日本菜,"Shop 1208, 1/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",27,6,2
rest81,巧手製作,Crafted,4.0,12.0,77.0,Wong Tai Sin,50.0,港式,"Shop S002 (Portion), G/F, Chuk Yuen South Plaza, 15 Chuk Yuen Road, Wong Tai Sin",10,0,0
rest82,Usual Place Party & Studio,,,,37.0,Tsuen Wan,101.0,港式,"Room 1610, Wing Hing Industrial Building, 83-93 Chai Wan Kok Street, Tsuen Wan",0,0,0
rest83,蔡記小食,,3.5,28.0,402.0,Lamma Island,50.0,港式, ,14,14,0
rest84,新泰興,,3.5,11.0,939.0,Shum Shui Po,51.0,泰國菜,"Shop 21, G/F, Manor Centre, 213 Un Chau Street, Sham Shui Po",5,4,0
rest85,中泰味美,,3.5,9.0,244.0,To Kwa Wan,51.0,泰國菜,"5 Mei King Street, To Kwa Wan",6,1,0
rest86,Beard Papa's,,4.0,9.0,144.0,Wan Chai,50.0,日本菜,"Shop A, G/F, QRE Plaza, 202 Queen Road East, Wan Chai",4,1,0
rest87,新流連屋快餐小食串燒,,2.5,3.0,62.0,Tseung Kwan O,50.0,港式,"Shop 34, G/F, Beverly Garden Centre, 1 Tong Ming Street, Tseung Kwan O",1,1,1
rest88,大自然涼茶,,,,18.0,Shau Kei Wan,50.0,粵菜, ,1,0,0
rest89,Master Kama Catering,,3.5,12.0,338.0,Non Storefront,101.0,多國菜, ,6,0,3
rest90,CoCo Espresso,,4.0,29.0,3916.0,Wan Chai,50.0,西式,"G/F, 2 Anton Street, Wan Chai",23,5,0
rest91,點心哥,Dim Sum Go,,,97.0,Ngau Tau Kok,50.0,粵菜,"Shop 14, G/F, Block 3, Lotus Garden, 297 Ngau Tau Kok Rd, Ngau Tau Kok",2,0,0
rest92,木糠甜品屋,Sawdust Dessert,3.5,62.0,131.0,Causeway Bay,50.0,港式,"G/F, Shining Building, 477-481 Jaffe Road, Causeway Bay",30,23,5
rest93,元気寿司,Genki Sushi,3.5,20.0,102.0,Tsz Wan Shan,101.0,日本菜,"Shop 109, 1/F, Tsz Wan Shan Shopping Centre, 23 Yuk Wah Street, Tsz Wan Shan",8,6,0
rest94,漁村美食,Fishing Village Gourmet Food,,,2.0,Tai O,50.0,港式,"G/F, 3 Market Street, Tai O",0,0,0
rest95,章記香港仔魚蛋王,,3.5,23.0,268.0,Sai Wan,50.0,港式,"Shop A, G/F, Wing Hing House, 476 Queen Road West, Shek Tong Tsui, Western District",10,2,3
rest96,包點超人,Bao Dim Superman,,,49.0,Sai Wan,50.0,港式,"Shop D, G/F, Wing HIng House, 476-482 Queen's Road West, Western District",2,0,0
rest97,忠記粥品 (軒尼詩道),,3.5,45.0,1459.0,Wan Chai,50.0,港式,"Shop E,G/F, Lap Hing Building, 275-285 Hennessy Road, Wan Chai",25,3,6
rest98,西香記,Chang'An Taste,3.5,115.0,2646.0,Sai Wan,50.0,陝菜,"G/F., 406D Des Voeux Road West, Shek Tong Tsui, Western District",72,12,12
rest99,Cali-Mex Taqueria,,,,36.0,Central,101.0,美國菜,"G/F, 26 Hollywood Road, Central",1,0,0
rest100,富豪餅店,Regal Patisserie,,,32.0,Chek Lap Kok,50.0,法國菜,"2/F, Regal Airport Hotel, 9 Cheong Tat Road, Chek Lap Kok",1,0,0
rest101,Almas Caviar Bar,,,,455.0,Tsim Sha Tsui,201.0,西式,"102/F, The Ritz-Carlton Hong Kong, International Commerce Centre, 1 Austin Road West, Tsim Sha Tsui",1,0,0
rest102,樂華快餐,,,,6.0,Mong Kok,50.0,港式,"Shop A-B, Kong Pun Mansion, 1162 Canton Road, Mong Kok",0,0,0
rest103,澳門氹仔葡式餐館,,4.0,16.0,418.0,Yuen long,51.0,葡國菜,"G/F, 1 Fairview Park, Yuen Long",8,2,0
rest104,望月,Wang Yue,4.0,36.0,459.0,Kwai Chung,51.0,港式,"Room 5, 16/F, Wah Fat Industrial Building, 10-14 Kung Yip Street, Kwai Chung",29,3,0
rest105,金凱樓,,3.0,3.0,66.0,Tai Wai,51.0,粵菜,"Shop 2-3, G/F, Chun Shek Shopping Centre, 1 Shing Tin Street, Tai Wai",0,0,0
rest106,牛陣,Gyujin Shabu Shabu & Sukiyaki Restaurant,4.0,93.0,1219.0,Tai Po,101.0,日本菜,"Shop 217, 2/F, Zone B, Tai Po Mega Mall, 8-10 On Pong Road, Tai Po",58,10,5
rest107,豐盛飲食管理公司,,,,2.0,Tsuen Wan,50.0,港式,"Room F, 9/F, Houston Industrial Building, 32-40 Wang Lung Street, Tsuen Wan",0,0,0
rest108,南記冰室,Nam Kee Cafe,3.5,16.0,179.0,Kowloon City,50.0,港式,"G/F, 89 Fuk Lo Tsun Road, Kowloon City",2,3,2
rest109,太興,Tai Hing,3.0,43.0,129.0,Aberdeen,51.0,港式,"Shop A, G/F, Aberdeen Centre Phase 5, 6-12 Nam Ning Street, Aberdeen",17,14,6
rest110,王幺妹黔川米線,,3.5,60.0,1051.0,Hung Hom,50.0,川菜,"Shop E, G/F, Lux Theatre Building, 2-18 Ming On Street, Hung Hom",40,8,2
rest111,九份茶舍,Jiufen Tea House,4.0,48.0,1646.0,Mong Kok,50.0,台灣菜,"Shop A, G/F, 84 Bute Street, Mong Kok",23,5,3
rest112,金鶴拉麵 (蜆殼街),Kane Tsuru Ramen (蜆殼街),4.5,245.0,2598.0,Tin Hau,101.0,日本菜,"Shop E, G/F, Po Wing Building, 6-16 Shell Street, Fortress Hill, Tin Hau",220,10,1
rest113,Live Cafe Rhythm,,4.5,5.0,631.0,Mong Kok,51.0,西式,"Shop B, 3/F, Tat Lee Commercial Building, 43D Dundas Street, Mong Kok",4,1,0
rest114,萃華飯堂,,3.5,13.0,70.0,Kwai Chung,50.0,港式,"Shop 7, G/F, 68 Ta Chuen Ping Street, Kwai Chung",7,4,0
rest115,陸記燒臘,,,,8.0,Tseung Kwan O,50.0,港式,"Shop 2, G/F, K-Mart, TKO Plaza, 1 Tong Tak Street, Tseung Kwan O",0,0,0
rest116,Turkish Kebab & Indian Restaurant,,4.5,28.0,972.0,Tsim Sha Tsui,51.0,印度菜,"Shop 47, G/F, Chungking Mansions, 36-44 Nathan Road, Tsim Sha Tsui",24,1,0
rest117,Curry Corner,,4.0,15.0,166.0,Shum Shui Po,50.0,印度菜,"Shop 8F01, Food Court, 8/F, Dragon Centre, 37 Yen Chow Street, Sham Shui Po",8,2,1
rest118,東涌紅酒屋,Tung Chung Wine House,,,11.0,Tung Chung,101.0,西式,"G/F, 2 Wong Nai Uk, Tung Chung",0,0,0
rest119,周明園潮州粉麵餐廳,Chow Ming Yuen Chiu Chow Noodle Restaurant,3.0,32.0,112.0,Tai Po,50.0,潮州菜,"Shop G68, Tai Po Plaza, No.1 On Tai Road, Tai Po",17,7,2
rest120,貓之茶房,Cats Tea Room,,,69.0,Tsim Sha Tsui,51.0,港式,"Room 3, 3/F, Hai Phong Mansion, 53 Haiphong Road, Tsim Sha Tsui",1,0,0
rest121,李記咖啡奶茶,,3.5,30.0,1289.0,Tai Po,50.0,港式,"CFS33, 2/F, Tai Po Market Complex, Heung Sze Wui Street, Tai Po",21,2,1
rest122,Flames (海濱匯),,4.5,211.0,6353.0,Kwun Tong,51.0,多國菜,"Shop 2, 1/F, Quayside, 77 Hoi Bun Road, Kwun Tong",188,8,4
rest123,財記美食,Choi Kei,4.0,7.0,274.0,San Po Kong,50.0,粵菜,"G/F, San Po Kong Mansion, 2-32 Yin Hing Street, San Po Kong",4,1,0
rest124,雋園火鍋,The Glasshouse,3.5,37.0,918.0,North Point,201.0,港式,"Shop 13 Lower ground floor, 45 Braemar Hill Road, North Point",19,7,6
rest125,Grove Cafe,,3.0,47.0,561.0,Yau Tong,101.0,西式,"Shop 28A, G/F, Domain, 38 Ko Chiu Road, Yau Tong, Yau Tong",10,17,8
rest126,Kim's Spoon (MegaBox),,3.0,106.0,2381.0,Kowloon Bay,101.0,韓國菜,"Shop 3, 6/F, Enterprise Square Five, Megabox, 38 Wang Chiu Road, Kowloon Bay",27,36,22
rest127,祥囍煲仔小廚,Cheung Hei,4.0,157.0,9928.0,Shau Kei Wan,101.0,粵菜,"Shop 4A-5A, G/F, Sun Lee Building, 6-28 Ngoi Man Street, Shau Kei Wan",96,8,3
rest128,陳意齋,,3.5,117.0,2892.0,Central,50.0,港式,"Shop B, G/F, 176 Queen's Road Central, Central",72,26,7
rest129,星巴克咖啡,Starbucks Coffee,3.0,8.0,152.0,Wong Chuk Hang,50.0,美國菜,"Shop G05, G/F, One Island South, 2 Heung Yip Road, Wong Chuk Hang",2,5,1
rest130,潤昌食堂,Tan Cheung Canteen,3.5,3.0,15.0,Tuen Mun,50.0,多國菜,"Shop 2, G/F, Hang Wai Industrial Center, 6 Kin Tai Street,, Tuen Mun",2,0,1
rest131,翠龍餐室,,3.0,3.0,49.0,Shau Kei Wan,51.0,港式,"G/F, 135 Shau Kei Wan Main Street East, Shau Kei Wan",0,2,0
rest132,大快活,Fairwood,3.5,20.0,85.0,Quarry Bay,50.0,港式,"Level 1, King's House, 971 King's Road, Quarry Bay",7,6,3
rest133,意樂餐廳 (幸福商場),Itamomo Cafe (幸福商場),2.0,4.0,158.0,Cheung Sha Wan,51.0,港式,"Shop 16-17, G/F, Fortune Shopping Centre, Fortune Estate, 8 Hang Cheung Street, Cheung Sha Wan",1,1,0
rest134,洪強原味清湯腩咖喱專門店,,3.5,38.0,980.0,Tuen Mun,50.0,港式,"G/F, 5 Tsing Kwai Path, Tuen Mun",22,4,2
rest135,帝豪海鮮酒家,Royal Grand Seafood Restaurant,3.0,16.0,230.0,Tseung Kwan O,201.0,粵菜,"Shop 103-104, 1/F, Ming Tak Shopping Centre, Ming Tak Estate, 10 Pui Shing Lane, Tseung Kwan O",5,6,2
rest136,小肥牛蒸氣石鍋火鍋專門店,Calf Bone King,3.0,59.0,1418.0,Kwai Chung,101.0,港式,"1/F, 109-115 Wo Tong Tsui Street, Kwai Chung",26,16,9
rest137,城市花園,City Garden,,,23.0,Tsuen Wan,51.0,西式,"Shop 34, G/F, Cheong Nam Shopping Centre, 202-216 Sai Lau Kok Road, Tsuen Wan",0,0,0
rest138,快活美食茶餐廳,Finewood Fastfood Restaurant,3.0,12.0,61.0,Sheung Wan,50.0,港式, ,2,6,2
rest139,新鳳凰餅店,New Phoenix Cake Shop,3.5,39.0,574.0,North Point,50.0,港式,"G/F, Cheong Lee Building, 206-208 Tsat Tsz Mui Road, North Point , North Point",24,10,2
rest140,小茶角,tea&corner,4.5,169.0,1521.0,Tuen Mun,50.0,港式,"Shop 1A4, G/F, Kai Fung Shopping Centre, 138 Wu Chui Road, Tuen Mun",156,3,0
rest141,OCEAN THREE,,4.5,5.0,17.0,Shum Shui Po,201.0,西式,"Shop 103, G/F, Nam Cheong Place Market,  Nam Cheong Place, Fu Cheong Estate, 19 Sai Chuen Road, Sham Shui Po",5,0,0
rest142,尚膳養顏滋補鍋,Fancy Hotpot,4.5,47.0,140.0,Mong Kok,101.0,港式,"Shop 106-112, 1/F, Sun Hing Building, 607 Nathan Road, Mong Kok",46,1,0
rest143,一粥麵,Super Super Congee & Noodle,3.5,10.0,78.0,Tai Po,50.0,港式,"Shop G02 and G03, G/F, Po Heung Estate, Tai Po",2,2,0
rest144,Good Day Coffee Co.,,4.0,13.0,1240.0,Jordan,50.0,西式,"Shop B, G/F, 25 Man Ying Street, Jordan",9,2,0
rest145,大快活,Fairwood,3.5,13.0,132.0,Causeway Bay,50.0,港式,"1/F, Kyoto Plaza, 491-499 Lockhart Road, Causeway Bay",7,2,1
rest146,北京樓,Peking Garden Restaurant,3.5,172.0,7218.0,Mong Kok,201.0,京菜,"Shop 525, 5/F, MOKO, 193 Prince Edward Road West, Mong Kok",70,38,30
rest147,越之味,Tasty Vietnam HK,3.5,31.0,380.0,Tseung Kwan O,50.0,越南菜,"Shop 051G, UG/F, MCP Central, 8 Mau Yip Road, Tseung Kwan O",12,5,5
rest148,瀧茶,Lung Cha,4.0,20.0,321.0,Tseung Kwan O,50.0,台灣菜,"Shop A48, G/F, Well On Shopping Arcade, 9 Yuk Nga Ln, Tseung Kwan O",9,5,1
rest149,Song Bar,,,,6.0,Yau Tong,50.0,港式,"Shop 129, 1/F, Lei Yue Mun Plaza, 80 Lei Yue Mun Road, Yau Tong",0,0,1
rest150,翠華園藝燒烤場,Jade Garden,,,844.0,Stanley ,101.0,港式,"Near the dam, Tai Tam Tuk Village, Tai Tam Road, Stanley",1,1,0
rest151,發仔記,,4.0,3.0,234.0,Ap Lei Chau,51.0,粵菜,"G/F, 80A Ap Lei Chau Main Street, Ap Lei Chau",3,0,0
rest152,丸·茶手作 (通菜街),Bubble Tea Work (通菜街),3.5,22.0,734.0,Mong Kok,50.0,台灣菜,"Shop 3, G/F, 121 Tung Choi Street, Mong Kok",8,4,5
rest153,百份百餐廳 (置富嘉湖),Cafe 100% (置富嘉湖),3.5,11.0,517.0,Tin Shui Wai,50.0,港式,"Shop G77-78a, G79&G80, G/F, Fortune Kingswood (Former: Kingswood Ginza), 12-18 Tin Yan Road, Tin Shui Wai",1,5,0
