,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest5403,森美餐廳,Sammy's Kitchen,3.0,146.0,3260.0,Sai Wan,101.0,西式,"G/F, 204-206 Queen's Road West, Sai Ying Pun, Western District",65,33,31
rest5404,齒留香,,,,97.0,Tsuen Wan,50.0,港式,"B3/F, Panda Place, 3 Tsuen Wah Street, Tsuen Wan",1,0,0
rest5405,The Socialhouse,,4.0,258.0,6391.0,Tai Hang,201.0,西式,"12-13 Shepherd Street, Tai Hang",239,9,2
rest5406,蘭苑饎館,,3.5,39.0,891.0,Tsuen Wan,51.0,粵菜, ,26,9,2
rest5407,Tonkotsu 8 by 三田製麵所,,3.0,58.0,565.0,Shatin,51.0,日本菜,"Shop 111, 1/F, Citylink, 1 Sha Tin Station Circuit, Sha Tin",12,17,11
rest5408,小巴黎越南餐廳,Mini Paris Vietnamese Restaurant,3.0,41.0,62.0,Tuen Mun,50.0,越南菜,"G/F, North Wing, The Trend Plaza, 2 Tuen Lung Street, Tuen Mun",16,12,9
rest5409,土司工坊,Toast Box,3.5,19.0,297.0,Tai Kok Tsui,51.0,新加坡菜,"Food Republic, 1/F, Olympian City 2, 18 Hoi Ting Road, Tai Kok Tsui",8,6,2
rest5410,紅廚,Red Kitchen,4.5,4.0,659.0,Yuen long,201.0,粵菜,"G/F, 19 Fung Chi Tsuen, Yuen Long",3,0,0
rest5411,Shiro Bakery,,4.5,3.0,259.0,Taikoo ,51.0,日本菜,"Eslite Spectrum, Shop 144, 1/F, Cityplaza, 18 Taikoo Shing Road, Tai Koo",3,0,0
rest5412,麥當勞,McDonald's,3.0,14.0,148.0,Lok Fu,50.0,美國菜,"Shop 3112-3114, 3/F, Lok Fu Shopping Centre, 198 Junction Road, Lok Fu",1,2,4
rest5413,甜意糖水小食,,3.0,33.0,172.0,Ma On Shan,50.0,港式,"Shop 6, G/F, Fuk On Garden,, Ma On Shan",18,1,10
rest5414,牡丹咖啡,PEONY CAFE,4.0,87.0,1765.0,Sai Wan Ho,50.0,西式,"Shop G., G/F, 117-119 Sau Kei Wan Road, Sai Wan Ho",62,12,1
rest5415,新寶粉麵茶餐廳,,3.5,11.0,167.0,Kwun Tong,50.0,潮州菜,"G/F, Luen Lee Court, 6 Yee On Street, Kwun Tong",6,4,0
rest5416,紫竹林小食,,3.5,5.0,47.0,Tai Po,50.0,港式,"G/F, Hei Tai Building, 15-19 Pak Shing Street, Tai Po",1,3,0
rest5417,江記,,3.5,35.0,502.0,Tsuen Wan,50.0,滬菜,"Shop 4-5, 2/F, Heung Che Street Market and Cooked Food Centre, Fuk Loi Estate, Tsuen Wan",21,8,1
rest5418,齊魯家宴,Qi Lu Jia Yan,4.0,23.0,1789.0,Wan Chai,201.0,鲁菜,"1/F, 18 Lun Fat Street, Wan Chai",10,2,1
